Product Name,Sales,Profit
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384000000002,7753.039
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784
HON 5400 Series Task Chairs for Big and Tall,21870.576,5.684341886080802e-14
GBC DocuBind TL300 Electric Binding System,19823.479,2233.5051000000003
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.9799999999996
Hewlett Packard LaserJet 3310 Copier,18839.686,6983.8836
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,4094.9766
GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000003
High Speed Automatic Electric Letter Opener,17030.311999999998,-262.00480000000005
Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973000000001
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1835999999998
Ibico EPK-21 Electric Binding System,15875.916000000001,3345.2823
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000001
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004
Samsung Galaxy Mega 6.3,13943.668,1822.7566
Apple iPhone 5,12996.600000000002,1611.5784
Bretford Rectangular Conference Table Tops,12995.2915,-327.23309999999975
Global Troy Executive Leather Low-Back Tilter,12975.382,951.8620000000001
Canon PC1060 Personal Laser Copier,11619.833999999999,4570.9347
SAFCO Arco Folding Chair,11572.78,1179.3739999999996
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02
Cubify CubeX 3D Printer Double Head Print,11099.963,-8879.9704
DMI Eclipse Executive Suite Bookcases,11046.609,90.17639999999939
Tennsco 6- and 18-Compartment Lockers,10925.003999999999,1575.1097999999997
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.0325000000003
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,1927.442
LogitechÃÂ P710e Mobile Speakerphone,10196.604,1645.3610999999999
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.640000000001,-2876.1156
Tennsco Double-Tier Lockers,9630.856,429.7882
Bush Advantage Collection Racetrack Conference Table,9544.725,-1934.3976
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,3696.2819999999997
Bady BDG101FRU Card Printer,9279.884,1327.9834
